Number,Title,Date,SPZI,Last event,Date of last event,Пакет документов при внесении,Форма законопроекта,Заключение Правительства РФ на законопроект,Комитеты-соисполнители,Предмет ведения,Тематический блок законопроектов,Собрание законодательства Российской Федерации,Номер постановления Государственной Думы,Срок представления поправок,Принадлежность к календарю,Отрасль законодательства,Причины первоочередного рассмотрения,Дата извещения о направлении в Совет ГД,Номер постановления Совета Федерации,События по законопроекту,Принадлежность законопроекта к примерной программе (первоочередные),Альтернативные законопроекты,"Законопроекты, входящие в один пакет с данным",Номер федерального закона,Принадлежность законопроекта к примерной программе,Ответственный комитет,Профильный комитет,Срок действия Заключения Правового Управления,Срок представления отзывов,Рассмотрение в Совете законодателей,Собрание законодательства Российской Федерации,Приоритеты фракций на сессию,,Link to document
1,"884609-8 О внесении изменений в статьи 1 и 6 Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей""",05.04.2025,Новгородская областная Дума,1.1 Регистрация законопроекта и материалов к нему в САДД ГД (внесение) зарегистрирован и направлен Председателю Государственной Думы,05.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,,Отсутствует,,,,,,/download/1f01202c-b79d-653e-b6d8-dd3ef822144a
2,"881840-8 О внесении изменений в статью 9 Федерального закона ""Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации""",02.04.2025,"Депутаты ГД Н.А.Останина, Б.С.Хамзаев, В.В.Кулиева, О.А.Михайлов, Показать еще 26 В.М.Новиков, Р.В.Кармазина, А.Ю.Спиридонов, В.И.Самокиш, А.В.Якубовский, А.В.Корниенко, С.В.Еремин, Г.И.Данчикова, Я.В.Лантратова, А.Н.Диденко, Д.З.Гильмутдинов, С.В.Алтухов, А.Р.Метшин, О.Н.Фадина, П.М.Федяев, Т.В.Буцкая, А.П.Гимбатов, О.В.Коробова, Т.П.Ларионова, С.Г.Левченко, А.Р.Толмачев, Е.А.Вторыгина, Н.С.Валуев, Ш.В.Кара-оол, А.Ф.Лесун, В.М.Заварзин Скрыть","1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",03.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",Отсутствует,,,,,,/download/1f00fe6d-a4e3-6d84-ba58-a335e8a0d756
3,"881802-8 О внесении изменений в статью 13 Федерального закона ""Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации""",02.04.2025,"Депутаты ГД Н.А.Останина, Б.С.Хамзаев, В.В.Кулиева, О.А.Михайлов, Показать еще 27 В.М.Новиков, Р.В.Кармазина, А.Ю.Спиридонов, В.И.Самокиш, А.В.Якубовский, А.В.Корниенко, С.В.Еремин, Г.И.Данчикова, Я.В.Лантратова, А.Н.Диденко, Д.З.Гильмутдинов, С.В.Алтухов, А.Р.Метшин, О.Н.Фадина, П.М.Федяев, А.П.Гимбатов, Т.В.Буцкая, О.В.Коробова, Т.П.Ларионова, С.Г.Левченко, А.Р.Толмачев, Е.А.Вторыгина, Н.С.Валуев, Ш.В.Кара-оол, А.Ф.Лесун, Д.Г.Гусев, В.М.Заварзин Скрыть","1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",03.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",Отсутствует,,,,,,/download/1f00fe64-b926-6142-a5f9-a335e8a0d756
4,"881371-8 О внесении изменений в статьи 5 и 6 Федерального закона ""О потребительском кредите (займе)""",02.04.2025,"Депутаты ГД С.М.Миронов, Д.Г.Гусев, О.А.Нилов, Я.В.Лантратова, Показать еще 5 Н.В.Новичков, М.Г.Делягин, А.С.Аксененко, А.А.Кузнецов, Ф.С.Тумусов Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по финансовому рынку,03.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по финансовому рынку,Отсутствует,,,,,,/download/1f00fbab-4836-665a-8075-df224e73cc26
5,"881196-8 О внесении изменений в Федеральный закон от 7 февраля 1992 № 2300-1 ""О защите прав потребителей""",02.04.2025,"Депутаты ГД Ф.С.Тумусов, Ю.И.Григорьев",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по промышленности и торговле,03.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по промышленности и торговле,Отсутствует,,,,,,/download/1f00fadf-e860-62e2-b55b-89251c6eaaf3
6,"880569-8 О внесении изменений в статьи 33.7 и 33.8 Федерального закона ""О рыболовстве и сохранении водных биологических ресурсов""",01.04.2025,"Сенаторы РФ А.В.Двойных, А.Д.Артамонов, С.Г.Митин, И.Д.Зубарев, Т.А.Сахарова, А.В.Наролин",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по аграрным вопросам,03.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по аграрным вопросам,Отсутствует,,,,,,/download/1f00f1d6-d3ec-64ee-847b-534f3eda740e
7,"880519-8 О внесении изменения в статью 16 Федерального закона ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции и об ограничении потребления (распития) алкогольной продукции""",01.04.2025,Законодательное Собрание Забайкальского края,1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по экономической политике,03.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по экономической политике,Отсутствует,,,,,,/download/1f00f183-f1e7-6fd2-b18a-db01d754622b
8,"880243-8 О внесении изменений в статью 20 Федерального закона ""О бесплатной юридической помощи в Российской Федерации""",01.04.2025,Депутат ГД Ф.С.Тумусов,1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по государственному строительству и законодательству,02.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по государственному строительству и законодательству,Отсутствует,,,,,,/download/1f00f054-1d3e-6022-a187-dd850dec38ea
9,"880232-8 О внесении изменений в статью 37 Федерального закона от 21.11.2011 № 323-ФЗ ""Об основах охраны здоровья граждан в Российской Федерации""",01.04.2025,"Депутаты ГД Ф.С.Тумусов, Ю.И.Григорьев",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по охране здоровья,02.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по охране здоровья,Отсутствует,,,,,,/download/1f00f046-af80-6eb6-981d-436beaa3e9e1
10,"880220-8 О внесении изменений в Федеральный закон ""О ведении гражданами садоводства и огородничества для собственных нужд и о внесении изменений в отдельные законодательные акты Российской Федерации"" и в отдельные законодательные акты Российской Федерации",01.04.2025,"Депутаты ГД А.В.Гордеев, В.И.Кашин, В.Н.Плотников, М.Н.Прусакова, Показать еще 6 С.В.Яхнюк, И.И.Лоор, Н.И.Васильев, Д.Н.Лоцманов, Р.И.Сулейманов, А.Ф.Лавриненко Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по аграрным вопросам,03.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по аграрным вопросам,Отсутствует,,,,,,/download/1f00f03d-9a9e-66be-ac00-ada7fb0625e2
